Codigo Aluno,Matemática,Português,Ciências,L.E. Inglês,História,Geografia,MediaAno,Interpretação gráfica do desempenho
4º ano,"7,6",7,8,***,"7,1","7,1","7,36",
5º ano,5,6,5,***,"5,5","5,5","5,4",
6º ano,"7,5","5,1","7,5","7,5","8,6","7,6","7,3",
7º ano,"6,7","5,6","7,8",5,"5,9","7,5","6,41",
8º ano,7,"7,2","9,3","8,5","5,2","9,8","7,83",
9º ano,6,"7,7",8,"7,7","7,7",8,"7,51",
MédiaG Discip,"6,63","6,4,","7,6","7,17","6,66","7,58","7,005",
10032,,,,,,,,
4º ano,9,"8,8",10,***,"9,8","9,3","9,38",
5º ano,"9,6","9,6","9,8",***,"9,8","9,6","9,68",
6º ano,"9,1","9,3",9,"9,1","9,5","9,5","9,25",
7º ano,"9,3","8,8","9,3","9,5","9,6","8,5","9,16",
8º ano,"9,8","8,8",9,"9,8",10,"9,5","9,48",
9º ano,10,"9,3","9,2",10,10,10,"9,75",
MédiaG Discip,"9,46","9,1","9,38","9,6","9,78","9,4","9,44",
10033,,,,,,,,
4º ano,9,8,9,***,"8,6","8,5","8,62",
5º ano,"8,3","7,1","7,1",***,8,8,"7,7",
6º ano,"6,9",7,"7,3","8,1",7,"7,6","7,31",
7º ano,"6,2","5,5","6,1","6,1","7,1","6,2","6,2",
8º ano,5,"5,7","7,2",7,"5,3","5,3","5,91",
9º ano,"6,3","7,8","8,3","7,8","9,3","6,8","7,71",
MédiaG Discip,"6,95","6,85","7,5","7,25","7,55","7,06","7,191",
10034,,,,,,,,
4º ano,"7,3","6,3","7,3",***,4,"7,3","6,44",
5º ano,8,"6,6",8,***,"7,6",8,"7,64",
6º ano,"7,6",7,"6,5","6,8","7,3","6,5","6,95",
7º ano,"4,4",7,"7,8","7,8","7,6","7,8","7,06",
8º ano,"7,6","7,5","7,5","7,8","7,8","7,5","7,61",
9º ano,9,"7,8","8,3","8,8",7,"8,3","8,2",
MédiaG Discip,"7,31","7,03","7,56","7,8","6,88","7,56","7,335",
10035,,,,,,,,
4º ano,"7,5",8,9,***,8,"8,5","8,2",
5º ano,"5,3","6,7",7,***,7,"7,2","6,64",
6º ano,5,"6,8","6,3","8,5",7,"7,3","6,81",
7º ano,"5,2","7,1","8,5",9,"7,6",8,"7,56",
8º ano,"6,8","7,5","7,3",8,7,7,"7,26",
9º ano,"6,5",7,"8,5","8,5","7,5","6,2","7,36",
MédiaG Discip,"6,05","7,18","7,76","8,5","7,35","7,36","7,302",
10036,,,,,,,,
4º ano,"8,1","7,7","8,1",***,"7,6","7,7","7,84",
5º ano,"6,8","7,2","8,6",***,"6,8","6,8","7,24",
6º ano,"8,8","7,8","9,6","9,3","8,5","9,3","8,88",
7º ano,"7,5","7,8","8,6","9,6","8,3","8,8","8,43",
8º ano,"6,8","7,8","8,8",8,"8,3","8,3",8,
9º ano,"6,8",8,"9,3","7,8",9,"7,7","8,1",
MédiaG Discip,"7,46","7,71","8,83","8,67","8,08","8,1","8,114",
10037,,,,,,,,
4º ano,7,"7,9","7,8",***,7,7,"7,34",
5º ano,8,"8,5","7,5",***,8,"8,8","8,16",
6º ano,7,"8,8","8,8","9,6","8,6","9,3","8,68",
7º ano,"8,4","8,4","8,4","9,2","9,5",9,"8,81",
8º ano,"8,3",9,9,"8,5","8,8","8,5","8,68",
9º ano,7,"7,8","9,5","8,5","8,5","7,7","8,16",
MédiaG Discip,"7,61","8,4","8,5","8,95","8,4","8,38","8,341",
10038,,,,,,,,
4º ano,8,"7,5","8,5",***,8,"8,5","8,1",
5º ano,"8,3","8,2","8,2",***,"8,3","8,3","8,26",
6º ano,7,8,8,8,"7,5",7,"7,58",
7º ano,"7,6","7,7","7,4","8,4","7,4","7,9","7,73",
8º ano,"7,8",9,8,10,"8,8",9,"8,76",
9º ano,"7,8","9,7","7,7","8,3","7,8","7,3","8,1",
MédiaG Discip,"7,75","8,35","7,96","8,67","7,96",8,"8,085",
10039,,,,,,,,
4º ano,"7,8","8,3",8,***,"8,6","8,5","8,24",
5º ano,"7,3","7,6","7,1",***,8,"8,8","7,76",
6º ano,"7,1","6,4","7,1","8,3","7,1","6,2","7,03",
7º ano,6,"5,8",8,8,"7,3","6,9",7,
8º ano,"9,5","9,3","8,5",10,"9,8","9,3","9,4",
9º ano,"7,8",7,"7,7","7,5","8,2","8,8","7,87",
MédiaG Discip,"7,58","7,4","7,73","8,45","8,16","8,08","7,87",
"Dados sendo tratados, fazer média, diferença de nota de um ano pra outro, taxa desempenho média geral, nos comentários a interpretação da situação",,,,,,,,
